Date,Open,High,Low,Close,Volume
31-May-17,36.85,36.97,36.63,36.83,898925
30-May-17,37.13,37.20,36.74,36.85,910011
26-May-17,37.00,37.19,36.80,37.07,1131447
25-May-17,36.62,36.95,36.54,36.56,1744995
24-May-17,36.23,36.23,35.37,35.81,1729253
23-May-17,36.44,37.62,36.38,36.81,2725158
22-May-17,34.52,35.00,34.52,34.90,1105543
19-May-17,34.22,34.61,34.14,34.45,1114901
18-May-17,33.70,34.06,33.41,33.88,1071703
17-May-17,34.75,34.90,34.11,34.21,1233710
16-May-17,34.02,34.27,33.97,34.18,807847
15-May-17,33.78,33.98,33.64,33.90,1222895
12-May-17,33.49,33.87,33.44,33.76,856631
11-May-17,33.20,33.51,33.11,33.45,1121642
10-May-17,33.14,33.51,32.99,33.49,994105
9-May-17,33.12,33.24,32.74,32.77,1301234
8-May-17,32.90,32.98,32.70,32.77,1723995
5-May-17,32.73,32.96,32.55,32.73,2506419
4-May-17,34.10,34.13,33.82,33.92,1456789
3-May-17,34.62,34.82,34.49,34.70,845079
2-May-17,35.21,35.21,34.49,34.81,914280
1-May-17,35.72,35.74,35.08,35.17,1049565
